run_date,as_of,window_days,category,subcategory,sort,rank,app_id,app_name,total_tokens,total_requests
2026-07-28,2026-07-27,7,coding,cli-agent,popular,13,3451751,OpenSquilla,17720939380,475317
2026-07-28,2026-07-27,7,coding,cli-agent,popular,14,3980383,mimocode,15400226106,126847
2026-07-28,2026-07-27,7,coding,cli-agent,popular,15,3248223,goose,14322827016,419508
2026-07-28,2026-07-27,7,coding,cli-agent,popular,16,2354934,Qwen Code,13388227330,131125
2026-07-28,2026-07-27,7,coding,cli-agent,popular,17,2351296,Crush,11882233175,100334
2026-07-28,2026-07-27,7,coding,cli-agent,popular,18,3462687,V12X,11621445665,236820
2026-07-28,2026-07-27,7,coding,cli-agent,popular,19,4220404,Rayline,8800167890,560640
2026-07-28,2026-07-27,7,coding,cli-agent,popular,20,2904101,Favur,6908586707,119642
2026-07-28,2026-07-27,7,coding,cli-agent,popular,21,3944927,Hermes Web UI,6286282075,42895
2026-07-28,2026-07-27,7,coding,cli-agent,popular,22,2671341,Minara,5316812845,312074
2026-07-28,2026-07-27,7,coding,cli-agent,popular,23,2697020,poolside-brand-training,3019529355,69432
2026-07-28,2026-07-27,7,coding,cli-agent,popular,24,3282295,pi,2787706892,28616
2026-07-28,2026-07-27,7,coding,cli-agent,popular,25,2304560,PostQode,2457405439,28724
2026-07-28,2026-07-27,7,coding,cli-agent,popular,26,2567728,Slate Agent,2360313979,33976
2026-07-28,2026-07-27,7,coding,cli-agent,popular,27,2842396,JONI,2282143943,29566
2026-07-28,2026-07-27,7,coding,cli-agent,popular,28,3662528,Aexol.ai,2258385994,39825
2026-07-28,2026-07-27,7,coding,cli-agent,popular,29,3646257,Vellum Assistant,2118731918,36806
2026-07-28,2026-07-27,7,coding,cli-agent,popular,30,143418,Aider,2100750417,63961
2026-07-28,2026-07-27,7,coding,cli-agent,popular,31,3265313,Clark - Personal Agent,2015840959,219729
2026-07-28,2026-07-27,7,coding,cli-agent,popular,32,3149465,Kern Agent,1888663715,22395
2026-07-28,2026-07-27,7,coding,cli-agent,popular,33,4397443,wakil,1866207939,15692
2026-07-28,2026-07-27,7,coding,cli-agent,popular,34,3778895,Flo Agent,1421069804,24776
2026-07-28,2026-07-27,7,coding,cli-agent,popular,35,3879658,StakeBetApp,1303719409,12845
2026-07-28,2026-07-27,7,coding,cli-agent,popular,36,3067206,Ante,1237604815,26265
2026-07-28,2026-07-27,7,coding,cli-agent,popular,37,3053821,Junie,1186499640,41444
2026-07-28,2026-07-27,7,coding,cli-agent,popular,38,2318385,Traycer,1178612829,9645
2026-07-28,2026-07-27,7,coding,cli-agent,popular,39,4019526,superagent,898191356,5735
2026-07-28,2026-07-27,7,coding,cli-agent,popular,40,3010635,Clawnify,715316511,31460
2026-07-28,2026-07-27,7,coding,cli-agent,popular,41,3192829,CodeAF,697655413,24542
2026-07-28,2026-07-27,7,coding,ide-extension,popular,1,2262242,Kilo Code,1747609375958,23372992
2026-07-28,2026-07-27,7,coding,ide-extension,popular,2,190604,Cline,564508598121,5525563
2026-07-28,2026-07-27,7,coding,ide-extension,popular,3,831074,Roo Code,33696268639,284693
2026-07-28,2026-07-27,7,coding,ide-extension,popular,4,2304560,PostQode,2457405439,28724
2026-07-28,2026-07-27,7,coding,ide-extension,popular,5,3449013,OpenRouter Chat Provider for VSCode,1540533269,13882
2026-07-28,2026-07-27,7,coding,ide-extension,popular,6,3053821,Junie,1186499640,41444
2026-07-28,2026-07-27,7,coding,ide-extension,popular,7,2318385,Traycer,1178612829,9645
2026-07-28,2026-07-27,7,coding,ide-extension,popular,8,3424703,AVACode,966053172,9604
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,1,3178860,Ito,43379403163,1225363
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,2,831074,Roo Code,33696268639,284693
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,3,3828701,Letaido,24966016079,320361
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,4,2293498,Agent Zero,16207490517,469274
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,5,3248223,goose,14322827016,419508
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,6,4220404,Rayline,8800167890,560640
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,7,3648761,TeleClaw,6513764141,226524
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,8,4147521,Circle T Foundry,4164574235,68299
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,9,3747309,GitLawb,3963666528,42966
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,10,3097485,Studs.gg,3419703544,147887
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,11,3365484,Opair,2783672803,60482
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,12,4069892,Multi-Agent Arena - Olam Labs,2766637461,131343
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,13,3973594,TriClaps,2303807727,18487
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,14,3662528,Aexol.ai,2258385994,39825
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,15,3265313,Clark - Personal Agent,2015840959,219729
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,16,3131593,starchild,1802682920,51092
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,17,4314335,Atarim,1329753895,9575
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,18,3879658,StakeBetApp,1303719409,12845
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,19,3010635,Clawnify,715316511,31460
2026-07-28,2026-07-27,7,coding,cloud-agent,popular,20,2994876,Workshop AI Router,696965340,9840
2026-07-28,2026-07-27,7,coding,programming-app,popular,1,169295,Portkey AI,218672740834,8117370
2026-07-28,2026-07-27,7,coding,programming-app,popular,2,2637375,Lemonade,118658021139,3484500
2026-07-28,2026-07-27,7,coding,programming-app,popular,3,2237546,Cursor,78963688166,726178
2026-07-28,2026-07-27,7,coding,programming-app,popular,4,2267189,Zed Editor,68670935719,613561
2026-07-28,2026-07-27,7,coding,programming-app,popular,5,2640550,Peezy Gateway,46363770725,834317
2026-07-28,2026-07-27,7,coding,programming-app,popular,6,3980383,mimocode,15400226106,126847
2026-07-28,2026-07-27,7,coding,programming-app,popular,7,3248223,goose,14322827016,419508
2026-07-28,2026-07-27,7,coding,programming-app,popular,8,2904101,Favur,6908586707,119642
2026-07-28,2026-07-27,7,coding,programming-app,popular,9,4147521,Circle T Foundry,4164574235,68299
2026-07-28,2026-07-27,7,coding,programming-app,popular,10,3894130,HeroUI Pro Design Systems,764262159,5515
2026-07-28,2026-07-27,7,coding,programming-app,popular,11,3070051,ABP Studio,716090163,73354
2026-07-28,2026-07-27,7,coding,programming-app,popular,12,3192829,CodeAF,697655413,24542
2026-07-28,2026-07-27,7,all,,popular,1,3067167,Hermes Agent,6781717949623,82068364
2026-07-28,2026-07-27,7,all,,popular,2,2262242,Kilo Code,1747609375958,23372992
2026-07-28,2026-07-27,7,all,,popular,3,2627404,Claude Code,1527964884094,16705302
2026-07-28,2026-07-27,7,all,,popular,4,2725608,OpenClaw,955904036578,20945339
2026-07-28,2026-07-27,7,all,,popular,5,2853275,pi,602952451980,8645632
2026-07-28,2026-07-27,7,all,,popular,6,190604,Cline,564508598121,5525563
2026-07-28,2026-07-27,7,all,,popular,7,2308106,Descript,418884162667,5204465
2026-07-28,2026-07-27,7,all,,popular,8,4132065,"Hello Minds, powered by Ethoswarm",372246818976,1720851
2026-07-28,2026-07-27,7,all,,popular,9,2699842,ISEKAI ZERO,244719309838,6266015
2026-07-28,2026-07-27,7,all,,popular,10,169155,Janitor AI,222910588589,15950599
2026-07-28,2026-07-27,7,all,,popular,11,2668297,Codex,220898770087,2493882
2026-07-28,2026-07-27,7,all,,popular,12,169295,Portkey AI,218672740834,8117370
2026-07-28,2026-07-27,7,all,,popular,13,3682314,Oh-My-Pi,138456877751,1269012
2026-07-28,2026-07-27,7,all,,popular,14,2344758,Sahasra,130886171234,1830820
2026-07-28,2026-07-27,7,all,,popular,15,2637375,Lemonade,118658021139,3484500
2026-07-28,2026-07-27,7,all,,popular,16,2755681,Pieces.app: Ambient Artificial Memory,118069037811,13898061
2026-07-28,2026-07-27,7,all,,popular,17,2938662,Nous Research API,117787275640,5269313
2026-07-28,2026-07-27,7,all,,popular,18,171054,HackerAI,104327427765,2607708
2026-07-28,2026-07-27,7,all,,popular,19,2524738,LangChain,93978006921,8991482
2026-07-28,2026-07-27,7,all,,popular,20,1275184,Codebuff,87008336235,6030797
2026-07-28,2026-07-27,7,all,,popular,21,3296290,Mira is the leading AI agent inside Telegram,86189870192,6030230
2026-07-28,2026-07-27,7,all,,popular,22,2299688,GDevelop,84322510899,2209320
2026-07-28,2026-07-27,7,all,,popular,23,2237546,Cursor,78963688166,726178
2026-07-28,2026-07-27,7,all,,popular,24,3906588,Zoo Code,71533940169,810056
2026-07-28,2026-07-27,7,all,,popular,25,142576,SillyTavern,68940605647,4027800
2026-07-28,2026-07-27,7,all,,popular,26,2267189,Zed Editor,68670935719,613561
2026-07-28,2026-07-27,7,all,,popular,27,189563,OpenHands,49289095438,998273
2026-07-28,2026-07-27,7,all,,popular,28,184102,Open WebUI,48844050541,2348742
2026-07-28,2026-07-27,7,all,,popular,29,2640550,Peezy Gateway,46363770725,834317
2026-07-28,2026-07-27,7,all,,popular,30,2823243,Z Code,46195417910,394981
2026-07-28,2026-07-27,7,all,,popular,31,3844484,Craft,45208695194,7173036
2026-07-28,2026-07-27,7,all,,popular,32,3178860,Ito,43379403163,1225363
2026-07-28,2026-07-27,7,all,,popular,33,3350625,extra.email,43283195666,6618311
2026-07-28,2026-07-27,7,all,,popular,34,2235067,HammerAI,42938913765,11619899
2026-07-28,2026-07-27,7,all,,popular,35,2235775,shapes inc,36830272427,7617772
